"Time t (s)","Current I (mA)","Magnetic field strength B (µT)","Background Temperature T (°C)"
1,5072,4075,24
5,5068,4074,24
8,5065,4074,24
11,5062,4073,24
15,5057,4072,24
20,5051,4071,24
24,5049,4070,24
27,5046,4069,24
31,5042,4068,24
37,5037,4067,24
43,5031,4066,24
48,5027,4065,24
50,5025,4064,24
53,5022,4063,24
58,5018,4062,24
66,5012,4061,24
74,5008,4060,24
80,5003,4059,24
85,5000,4058,24
90,4997,4057,24
96,4992,4056,24
101,4989,4055,24
107,4985,4054,24
111,4982,4053,24
118,4978,4052,24
127,4973,4051,24
137,4970,4050,24
140,4965,4049,24
146,4962,4048,24
155,4958,4047,24
161,4955,4046,24
165,4953,4045,24
173,4949,4044,24
181,4945,4043,24
190,4941,4042,24
194,4939,4041,24
205,4935,4040,24
213,4931,4039,24
219,4929,4038,24
227,4925,4037,24
235,4922,4036,24
241,4919,4035,24
251,4916,4034,24
258,4913,4033,24
266,4909,4032,24
277,4907,4031,24
285,4905,4030,24
295,4903,4029,24
301,4902,4028,24
316,4900,4027,24
331,4896,4026,24
336,4895,4028,24
347,4891,4027,24